"code","name_en","name_fr","income_group","geography"
"274","Djibouti","Djibouti","LDCs","Africa (South of Sahara)"
"275","Namibia","Namibie","UMICs","Africa (South of Sahara)"
"276","Saint Helena","Sainte-Hélène","UMICs","Africa (South of Sahara)"
"278","Sudan","Soudan","LDCs","Africa (South of Sahara)"
"279","South Sudan","Soudan du Sud","LDCs","Africa (South of Sahara)"
"280","Swaziland","Swaziland","LMICs","Africa (South of Sahara)"
"282","Tanzania","Tanzanie","LDCs","Africa (South of Sahara)"
"283","Togo","Togo","LDCs","Africa (South of Sahara)"
"285","Uganda","Ouganda","LDCs","Africa (South of Sahara)"
"287","Burkina Faso","Burkina Faso","LDCs","Africa (South of Sahara)"
"288","Zambia","Zambie","LDCs","Africa (South of Sahara)"
"289","South of Sahara, regional","Sud du Sahara, régional","","Africa (South of Sahara)"
"298","Africa, regional","Afrique, régional","","Africa"
"336","Costa Rica","Costa Rica","UMICs","America (North & Central America)"
"338","Cuba","Cuba","UMICs","America (North & Central America)"
"340","Dominican Republic","République dominicaine","UMICs","America (North & Central America)"
"342","El Salvador","El Salvador","LMICs","America (North & Central America)"
"347","Guatemala","Guatemala","LMICs","America (North & Central America)"
"349","Haiti","Haïti","LDCs","America (North & Central America)"
"351","Honduras","Honduras","LMICs","America (North & Central America)"
"352","Belize","Belize","UMICs","America (North & Central America)"
"354","Jamaica","Jamaïque","UMICs","America (North & Central America)"
"358","Mexico","Mexique","UMICs","America (North & Central America)"
"364","Nicaragua","Nicaragua","LMICs","America (North & Central America)"
"366","Panama","Panama","UMICs","America (North & Central America)"
"377","Antigua and Barbuda","Antigua-et-Barbuda","UMICs","America (North & Central America)"
"378","Dominica","Dominique","UMICs","America (North & Central America)"
"380","West Indies, regional","Indes occ., régional","","America (North & Central America)"
"381","Grenada","Grenade","UMICs","America (North & Central America)"
"383","Saint Lucia","Sainte-Lucie","UMICs","America (North & Central America)"
"384","Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines","UMICs","America (North & Central America)"
"385","Montserrat","Montserrat","UMICs","America (North & Central America)"
"389","North & Central America, regional","Amérique N.& C., régional","","America (North & Central America)"
"425","Argentina","Argentine","UMICs","America (South America)"
"428","Bolivia","Bolivie","LMICs","America (South America)"
"431","Brazil","Brésil","UMICs","America (South America)"
"434","Chile","Chili","UMICs","America (South America)"
"437","Colombia","Colombie","UMICs","America (South America)"
"440","Ecuador","Equateur","UMICs","America (South America)"
"446","Guyana","Guyana","LMICs","America (South America)"
"451","Paraguay","Paraguay","LMICs","America (South America)"
"454","Peru","Pérou","UMICs","America (South America)"
"457","Suriname","Suriname","UMICs","America (South America)"
"460","Uruguay","Uruguay","UMICs","America (South America)"
"463","Venezuela","Venezuela","UMICs","America (South America)"
"489","South America, regional","Amérique du Sud, régional","","America (South America)"
"498","America, regional","Amérique, régional","","America"
"540","Iran","Iran","UMICs","Asia (Middle East Asia)"
"543","Iraq","Iraq","UMICs","Asia (Middle East Asia)"
"549","Jordan","Jordanie","UMICs","Asia (Middle East Asia)"
"550","West Bank and Gaza Strip","Cisjordanie et bande de Gaza","LMICs","Asia (Middle East Asia)"
"555","Lebanon","Liban","UMICs","Asia (Middle East Asia)"
"573","Syrian Arab Republic","République arabe syrienne","LMICs","Asia (Middle East Asia)"
"580","Yemen","Yémen","LDCs","Asia (Middle East Asia)"
"589","Middle East, regional","Moyen-Orient, régional","","Asia (Middle East Asia)"
"610","Armenia","Arménie","LMICs","Asia (South & Central Asia)"
"611","Azerbaijan","Azerbaïdjan","UMICs","Asia (South & Central Asia)"
"612","Georgia","Géorgie","LMICs","Asia (South & Central Asia)"
"613","Kazakhstan","Kazakhstan","UMICs","Asia (South & Central Asia)"
"614","Kyrgyzstan","Kirghizistan","LMICs","Asia (South & Central Asia)"
"615","Tajikistan","Tadjikistan","Other LICs","Asia (South & Central Asia)"
"616","Turkmenistan","Turkménistan","UMICs","Asia (South & Central Asia)"
"617","Uzbekistan","Ouzbékistan","LMICs","Asia (South & Central Asia)"
"619","Central Asia, regional","Asie centrale, régional","","Asia (South & Central Asia)"
"625","Afghanistan","Afghanistan","LDCs","Asia (South & Central Asia)"
"630","Bhutan","Bhoutan","LDCs","Asia (South & Central Asia)"
"635","Myanmar","Myanmar","LDCs","Asia (South & Central Asia)"
"640","Sri Lanka","Sri Lanka","LMICs","Asia (South & Central Asia)"
"645","India","Inde","LMICs","Asia (South & Central Asia)"
"655","Maldives","Maldives","UMICs","Asia (South & Central Asia)"
"660","Nepal","Népal","LDCs","Asia (South & Central Asia)"
"665","Pakistan","Pakistan","LMICs","Asia (South & Central Asia)"
"666","Bangladesh","Bangladesh","LDCs","Asia (South & Central Asia)"
"679","South Asia, regional","Asie du Sud, régional","","Asia (South & Central Asia)"
"689","South & Central Asia, regional","Asie du Sud & C., régional","","Asia (South & Central Asia)"
"728","Cambodia","Cambodge","LDCs","Asia (Far East Asia)"
"730","China (People's Republic of)","Chine (République populaire de)","UMICs","Asia (Far East Asia)"
"738","Indonesia","Indonésie","LMICs","Asia (Far East Asia)"
"740","Democratic People's Republic of Korea","République populaire démocratique de Corée","Other LICs","Asia (Far East Asia)"
"745","Lao People's Democratic Republic","République démocratique populaire lao","LDCs","Asia (Far East Asia)"
"751","Malaysia","Malaisie","UMICs","Asia (Far East Asia)"
"753","Mongolia","Mongolie","LMICs","Asia (Far East Asia)"
"755","Philippines","Philippines","LMICs","Asia (Far East Asia)"
"764","Thailand","Thaïlande","UMICs","Asia (Far East Asia)"
"765","Timor-Leste","Timor-Leste","LDCs","Asia (Far East Asia)"
"769","Viet Nam","Viet Nam","LMICs","Asia (Far East Asia)"
"789","Far East Asia, regional","Extrême-Orient, régional","","Asia (Far East Asia)"
"798","Asia, regional","Asie, régional","","Asia"
"831","Cook Islands","Iles Cook","UMICs","Oceania"
"832","Fiji","Fidji","UMICs","Oceania"
"836","Kiribati","Kiribati","LDCs","Oceania"
"845","Nauru","Nauru","UMICs","Oceania"
"854","Vanuatu","Vanuatu","LDCs","Oceania"
"856","Niue","Niue","UMICs","Oceania"
"859","Marshall Islands","Iles Marshall","UMICs","Oceania"
"860","Micronesia","Micronésie","LMICs","Oceania"
"861","Palau","Palaos","UMICs","Oceania"
"862","Papua New Guinea","Papouasie-Nouvelle-Guinée","LMICs","Oceania"
"866","Solomon Islands","Iles Solomon","LDCs","Oceania"
"868","Tokelau","Tokélaou","LMICs","Oceania"
"870","Tonga","Tonga","UMICs","Oceania"
"872","Tuvalu","Tuvalu","LDCs","Oceania"
"876","Wallis and Futuna","Wallis-et-Futuna","UMICs","Oceania"
"880","Samoa","Samoa","LMICs","Oceania"
"889","Oceania, regional","Océanie, régional","","Oceania"
"998","Developing countries, unspecified","Pays en développement, non spécifié","",""
